,original_text,masked_text,prediction,matching_count,total_count
33,"notion of his errand, this accidental souvenir becomes of importance.","notion <mask> his errand, this accidental souvenir becomes <mask> importance.","notion  of his errand, this accidental souvenir becomes  of importance.",2,2
34,"let me hear you reconstruct the man by an examination of it.""","let me hear you reconstruct the man <mask> an examination <mask> it.""","let me hear you reconstruct the man  after an examination  of it.""",1,2
35,,,,0,0
36,"""i think,"" said i, following as far as i could the methods of my","""i think,"" said i, following as far as i could the methods <mask> my","""i think,"" said i, following as far as i could the methods  of my",1,1
37,"companion, ""that dr. mortimer is a successful, elderly medical man,","companion, ""that dr. mortimer is a successful, elderly medical man,","companion, ""that dr. mortimer is a successful, elderly medical man,",0,0
38,well-esteemed since those who know him give him this mark of their,well-esteemed since those who know him give him this mark <mask> their,well-esteemed since those who know him give him this mark  on their,0,1
39,"appreciation.""","appreciation.""","appreciation.""",0,0
40,,,,0,0
41,"""good!"" said holmes. ""excellent!""","""good!"" said holmes. ""excellent!""","""good!"" said holmes. ""excellent!""",0,0
42,,,,0,0
43,"""i think also that the probability is in favour of his being a country","""i think also that the probability is <mask> favour <mask> his being a country","""i think also that the probability is  in favour  of his being a country",2,2
44,"practitioner who does a great deal of his visiting on foot.""","practitioner who does a great deal <mask> his visiting <mask> foot.""","practitioner who does a great deal  of his visiting  on foot.""",2,2
45,,,,0,0
46,"""why so?""","""why so?""","""why so?""",0,0
47,,,,0,0
48,"""because this stick, though originally a very handsome one has been so","""because this stick, though originally a very handsome one has been so","""because this stick, though originally a very handsome one has been so",0,0
49,knocked about that i can hardly imagine a town practitioner carrying it.,knocked <mask> that i can hardly imagine a town practitioner carrying it.,knocked  out that i can hardly imagine a town practitioner carrying it.,0,1
50,"the thick-iron ferrule is worn down, so it is evident that he has done a","the thick-iron ferrule is worn down, so it is evident that he has done a","the thick-iron ferrule is worn down, so it is evident that he has done a",0,0
51,"great amount of walking with it.""","great amount <mask> walking <mask> it.""","great amount  of walking  on it.""",1,2
52,,,,0,0
53,"""perfectly sound!"" said holmes.","""perfectly sound!"" said holmes.","""perfectly sound!"" said holmes.",0,0
54,,,,0,0
55,"""and then again, there is the 'friends of the c.c.h.' i should guess","""and then again, there is the 'friends <mask> the c.c.h.' i should guess","""and then again, there is the 'friends  of the c.c.h.' i should guess",1,1
56,"that to be the something hunt, the local hunt to whose members he has","that <mask> be the something hunt, the local hunt <mask> whose members he has","that  would be the something hunt, the local hunt  club whose members he has",0,2
57,"possibly given some surgical assistance, and which has made him a small","possibly given some surgical assistance, and which has made him a small","possibly given some surgical assistance, and which has made him a small",0,0
58,"presentation in return.""","presentation <mask> return.""","presentation  in return.""",1,1
59,,,,0,0
60,"""really, watson, you excel yourself,"" said holmes, pushing back his","""really, watson, you excel yourself,"" said holmes, pushing back his","""really, watson, you excel yourself,"" said holmes, pushing back his",0,0
61,"chair and lighting a cigarette. ""i am bound to say that in all the","chair and lighting a cigarette. ""i am bound <mask> say that <mask> all the","chair and lighting a cigarette. ""i am bound  to say that  with all the",1,2
62,accounts which you have been so good as to give of my own small,accounts which you have been so good as <mask> give <mask> my own small,accounts which you have been so good as  to give  as my own small,1,2
63,achievements you have habitually underrated your own abilities. it may,achievements you have habitually underrated your own abilities. it may,achievements you have habitually underrated your own abilities. it may,0,0
64,"be that you are not yourself luminous, but you are a conductor of","be that you are not yourself luminous, but you are a conductor <mask>","be that you are not yourself luminous, but you are a conductor .",0,1
65,light. some people without possessing genius have a remarkable power of,light. some people without possessing genius have a remarkable power <mask>,light. some people without possessing genius have a remarkable power .,0,1
66,"stimulating it. i confess, my dear fellow, that i am very much in your","stimulating it. i confess, my dear fellow, that i am very much <mask> your","stimulating it. i confess, my dear fellow, that i am very much  in your",1,1
67,"debt.""","debt.""","debt.""",0,0
68,,,,0,0
69,"he had never said as much before, and i must admit that his words gave","he had never said as much before, and i must admit that his words gave","he had never said as much before, and i must admit that his words gave",0,0
70,"me keen pleasure, for i had often been piqued by his indifference to my","me keen pleasure, <mask> i had often been piqued <mask> his indifference <mask> my","me keen pleasure,  for i had often been piqued  by his indifference  to my",3,3
71,admiration and to the attempts which i had made to give publicity to,admiration and <mask> the attempts which i had made <mask> give publicity <mask>,admiration and  for the attempts which i had made  to give publicity .,1,3
72,"his methods. i was proud, too, to think that i had so far mastered his","his methods. i was proud, too, <mask> think that i had so far mastered his","his methods. i was proud, too,  to think that i had so far mastered his",1,1
73,system as to apply it in a way which earned his approval. he now took,system as <mask> apply it <mask> a way which earned his approval. he now took,system as  to apply it  in a way which earned his approval. he now took,2,2
74,the stick from my hands and examined it for a few minutes with his naked,the stick <mask> my hands and examined it <mask> a few minutes <mask> his naked,the stick  in my hands and examined it  for a few minutes  in his naked,1,3
75,"eyes. then with an expression of interest he laid down his cigarette,","eyes. then <mask> an expression <mask> interest he laid down his cigarette,","eyes. then  with an expression  of interest he laid down his cigarette,",2,2
76,"and carrying the cane to the window, he looked over it again with a","and carrying the cane <mask> the window, he looked over it again <mask> a","and carrying the cane  to the window, he looked over it again  and a",1,2
77,convex lens.,convex lens.,convex lens.,0,0
78,,,,0,0
79,"""interesting, though elementary,"" said he as he returned to his","""interesting, though elementary,"" said he as he returned <mask> his","""interesting, though elementary,"" said he as he returned  to his",1,1
80,"favourite corner of the settee. ""there are certainly one or two","favourite corner <mask> the settee. ""there are certainly one or two","favourite corner  of the settee. ""there are certainly one or two",1,1
81,indications upon the stick. it gives us the basis for several,indications upon the stick. it gives us the basis <mask> several,indications upon the stick. it gives us the basis  for several,1,1
82,"deductions.""","deductions.""","deductions.""",0,0
83,,,,0,0
84,"""has anything escaped me?"" i asked with some self-importance. ""i trust","""has anything escaped me?"" i asked <mask> some self-importance. ""i trust","""has anything escaped me?"" i asked  with some self-importance. ""i trust",1,1
85,"that there is nothing of consequence which i have overlooked?""","that there is nothing <mask> consequence which i have overlooked?""","that there is nothing  of consequence which i have overlooked?""",1,1
86,,,,0,0
87,"""i am afraid, my dear watson, that most of your conclusions were","""i am afraid, my dear watson, that most <mask> your conclusions were","""i am afraid, my dear watson, that most  of your conclusions were",1,1
88,"erroneous. when i said that you stimulated me i meant, to be frank, that","erroneous. when i said that you stimulated me i meant, <mask> be frank, that","erroneous. when i said that you stimulated me i meant,  to be frank, that",1,1
89,in noting your fallacies i was occasionally guided towards the truth., <mask> noting your fallacies i was occasionally guided towards the truth., By noting your fallacies i was occasionally guided towards the truth.,0,1
90,not that you are entirely wrong in this instance. the man is certainly a,not that you are entirely wrong <mask> this instance. the man is certainly a,not that you are entirely wrong  in this instance. the man is certainly a,1,1
91,"country practitioner. and he walks a good deal.""","country practitioner. and he walks a good deal.""","country practitioner. and he walks a good deal.""",0,0
92,,,,0,0
93,"""then i was right.""","""then i was right.""","""then i was right.""",0,0
94,,,,0,0
95,"""to that extent.""","""to that extent.""","""to that extent.""",0,0
96,,,,0,0
97,"""but that was all.""","""but that was all.""","""but that was all.""",0,0
98,,,,0,0
99,"""no, no, my dear watson, not all--by no means all. i would suggest, for","""no, no, my dear watson, not all--by no means all. i would suggest, <mask>","""no, no, my dear watson, not all--by no means all. i would suggest,  """,0,1
100,"example, that a presentation to a doctor is more likely to come from a","example, that a presentation <mask> a doctor is more likely <mask> come <mask> a","example, that a presentation  by a doctor is more likely  to come  from a",2,3
101,"hospital than from a hunt, and that when the initials 'c.c.' are placed","hospital than <mask> a hunt, and that when the initials 'c.c.' are placed","hospital than  just a hunt, and that when the initials 'c.c.' are placed",0,1
102,before that hospital the words 'charing cross' very naturally suggest,before that hospital the words 'charing cross' very naturally suggest,before that hospital the words 'charing cross' very naturally suggest,0,0
103,"themselves.""","themselves.""","themselves.""",0,0
104,,,,0,0
105,"""you may be right.""","""you may be right.""","""you may be right.""",0,0
106,,,,0,0
107,"""the probability lies in that direction. and if we take this as a","""the probability lies <mask> that direction. and if we take this as a","""the probability lies  in that direction. and if we take this as a",1,1
108,working hypothesis we have a fresh basis from which to start our,working hypothesis we have a fresh basis <mask> which <mask> start our,working hypothesis we have a fresh basis  on which  to start our,1,2
109,"construction of this unknown visitor.""","construction <mask> this unknown visitor.""","construction  for this unknown visitor.""",0,1
110,,,,0,0
111,"""well, then, supposing that 'c.c.h.' does stand for 'charing cross","""well, then, supposing that 'c.c.h.' does stand <mask> 'charing cross","""well, then, supposing that 'c.c.h.' does stand  for 'charing cross",1,1
112,"hospital,' what further inferences may we draw?""","hospital,' what further inferences may we draw?""","hospital,' what further inferences may we draw?""",0,0
113,,,,0,0
114,"""do none suggest themselves? you know my methods. apply them!""","""do none suggest themselves? you know my methods. apply them!""","""do none suggest themselves? you know my methods. apply them!""",0,0
115,,,,0,0
116,"""i can only think of the obvious conclusion that the man has practised","""i can only think <mask> the obvious conclusion that the man has practised","""i can only think  of the obvious conclusion that the man has practised",1,1
117,"in town before going to the country."""," <mask> town before going <mask> the country."""," Leave town before going  into the country.""",0,2
118,,,,0,0
119,"""i think that we might venture a little farther than this. look at it","""i think that we might venture a little farther than this. look <mask> it","""i think that we might venture a little farther than this. look  at it",1,1
120,in this light. on what occasion would it be most probable that such a, <mask> this light. <mask> what occasion would it be most probable that such a, in this light.  On what occasion would it be most probable that such a,2,2
121,presentation would be made? when would his friends unite to give him,presentation would be made? when would his friends unite <mask> give him,presentation would be made? when would his friends unite  to give him,1,1
122,a pledge of their good will? obviously at the moment when dr. mortimer,a pledge <mask> their good will? obviously <mask> the moment when dr. mortimer,a pledge  of their good will? obviously  at the moment when dr. mortimer,2,2
123,withdrew from the service of the hospital in order to start a practice,withdrew <mask> the service <mask> the hospital <mask> order <mask> start a practice,withdrew  from the service  to the hospital  in order  to start a practice,3,4
124,for himself. we know there has been a presentation. we believe there has, <mask> himself. we know there has been a presentation. we believe there has, for himself. we know there has been a presentation. we believe there has,1,1
125,"been a change from a town hospital to a country practice. is it, then,","been a change <mask> a town hospital <mask> a country practice. is it, then,","been a change  from a town hospital  to a country practice. is it, then,",2,2
126,stretching our inference too far to say that the presentation was on the,stretching our inference too far <mask> say that the presentation was <mask> the,stretching our inference too far  to say that the presentation was  not the,1,2
127,"occasion of the change?""","occasion <mask> the change?""","occasion  of the change?""",1,1
128,,,,0,0
129,"""it certainly seems probable.""","""it certainly seems probable.""","""it certainly seems probable.""",0,0
130,,,,0,0
131,"""now, you will observe that he could not have been on the staff of the","""now, you will observe that he could not have been <mask> the staff <mask> the","""now, you will observe that he could not have been  on the staff  of the",2,2
132,"hospital, since only a man well-established in a london practice could","hospital, since only a man well-established <mask> a london practice could","hospital, since only a man well-established  in a london practice could",1,1
133,"hold such a position, and such a one would not drift into the country.","hold such a position, and such a one would not drift into the country.","hold such a position, and such a one would not drift into the country.",0,0
134,"what was he, then? if he was in the hospital and yet not on the staff he","what was he, then? if he was <mask> the hospital and yet not <mask> the staff he","what was he, then? if he was  in the hospital and yet not  telling the staff he",1,2
135,could only have been a house-surgeon or a house-physician--little more,could only have been a house-surgeon or a house-physician--little more,could only have been a house-surgeon or a house-physician--little more,0,0
136,than a senior student. and he left five years ago--the date is on the,than a senior student. and he left five years ago--the date is <mask> the,than a senior student. and he left five years ago--the date is  in the,0,1
137,"stick. so your grave, middle-aged family practitioner vanishes into","stick. so your grave, middle-aged family practitioner vanishes into","stick. so your grave, middle-aged family practitioner vanishes into",0,0
138,"thin air, my dear watson, and there emerges a young fellow under thirty,","thin air, my dear watson, and there emerges a young fellow under thirty,","thin air, my dear watson, and there emerges a young fellow under thirty,",0,0
139,"amiable, unambitious, absent-minded, and the possessor of a favourite","amiable, unambitious, absent-minded, and the possessor <mask> a favourite","amiable, unambitious, absent-minded, and the possessor  of a favourite",1,1
140,"dog, which i should describe roughly as being larger than a terrier and","dog, which i should describe roughly as being larger than a terrier and","dog, which i should describe roughly as being larger than a terrier and",0,0
141,"smaller than a mastiff.""","smaller than a mastiff.""","smaller than a mastiff.""",0,0
142,,,,0,0
143,i laughed incredulously as sherlock holmes leaned back in his settee and,i laughed incredulously as sherlock holmes leaned back <mask> his settee and,i laughed incredulously as sherlock holmes leaned back  on his settee and,0,1
144,blew little wavering rings of smoke up to the ceiling.,blew little wavering rings <mask> smoke up <mask> the ceiling.,blew little wavering rings  of smoke up  from the ceiling.,1,2
145,,,,0,0
146,"""as to the latter part, i have no means of checking you,"" said i, ""but","""as <mask> the latter part, i have no means <mask> checking you,"" said i, ""but","""as  for the latter part, i have no means  of checking you,"" said i, ""but",1,2
147,at least it is not difficult to find out a few particulars about the, <mask> least it is not difficult <mask> find out a few particulars <mask> the, At least it is not difficult  to find out a few particulars  about the,3,3
148,"man's age and professional career."" from my small medical shelf i took","man's age and professional career."" <mask> my small medical shelf i took","man's age and professional career.""  from my small medical shelf i took",1,1
149,down the medical directory and turned up the name. there were several,down the medical directory and turned up the name. there were several,down the medical directory and turned up the name. there were several,0,0
150,"mortimers, but only one who could be our visitor. i read his record","mortimers, but only one who could be our visitor. i read his record","mortimers, but only one who could be our visitor. i read his record",0,0
151,aloud.,aloud.,aloud.,0,0
152,,,,0,0
153,"""mortimer, james, m.r.c.s., 1882, grimpen, dartmoor, devon.","""mortimer, james, m.r.c.s., 1882, grimpen, dartmoor, devon.","""mortimer, james, m.r.c.s., 1882, grimpen, dartmoor, devon.",0,0
154,"house-surgeon, from 1882 to 1884, at charing cross hospital.","house-surgeon, <mask> 1882 <mask> 1884, <mask> charing cross hospital.","house-surgeon,  from 1882  to 1884,  at charing cross hospital.",3,3
155,"winner of the jackson prize for comparative pathology,","winner <mask> the jackson prize <mask> comparative pathology,","winner  of the jackson prize  for comparative pathology,",2,2
156,with essay entitled 'is disease a reversion?' corresponding, <mask> essay entitled 'is disease a reversion?' corresponding, An essay entitled 'is disease a reversion?' corresponding,0,1
157,member of the swedish pathological society. author of,member <mask> the swedish pathological society. author <mask>,member  of the swedish pathological society. author .,1,2
158,'some freaks of atavism' (lancet 1882). 'do we progress?','some freaks <mask> atavism' (lancet 1882). 'do we progress?','some freaks  of atavism' (lancet 1882). 'do we progress?',1,1
159,"(journal of psychology, march, 1883). medical officer","(journal <mask> psychology, march, 1883). medical officer","(journal  of psychology, march, 1883). medical officer",1,1
160,"for the parishes of grimpen, thorsley, and high barrow."""," <mask> the parishes <mask> grimpen, thorsley, and high barrow."""," And the parishes  of grimpen, thorsley, and high barrow.""",1,2
161,,,,0,0
162,"""no mention of that local hunt, watson,"" said holmes with a mischievous","""no mention <mask> that local hunt, watson,"" said holmes <mask> a mischievous","""no mention  of that local hunt, watson,"" said holmes  with a mischievous",2,2
163,"smile, ""but a country doctor, as you very astutely observed. i think","smile, ""but a country doctor, as you very astutely observed. i think","smile, ""but a country doctor, as you very astutely observed. i think",0,0
164,"that i am fairly justified in my inferences. as to the adjectives, i","that i am fairly justified <mask> my inferences. as <mask> the adjectives, i","that i am fairly justified  in my inferences. as  for the adjectives, i",1,2
165,"said, if i remember right, amiable, unambitious, and absent-minded.","said, if i remember right, amiable, unambitious, and absent-minded.","said, if i remember right, amiable, unambitious, and absent-minded.",0,0
166,it is my experience that it is only an amiable man in this world who,it is my experience that it is only an amiable man <mask> this world who,it is my experience that it is only an amiable man  in this world who,1,1
167,"receives testimonials, only an unambitious one who abandons a london","receives testimonials, only an unambitious one who abandons a london","receives testimonials, only an unambitious one who abandons a london",0,0
168,"career for the country, and only an absent-minded one who leaves his","career <mask> the country, and only an absent-minded one who leaves his","career  in the country, and only an absent-minded one who leaves his",0,1
169,"stick and not his visiting-card after waiting an hour in your room.""","stick and not his visiting-card after waiting an hour <mask> your room.""","stick and not his visiting-card after waiting an hour  in your room.""",1,1
170,,,,0,0
171,"""and the dog?""","""and the dog?""","""and the dog?""",0,0
172,,,,0,0
173,"""has been in the habit of carrying this stick behind his master. being a","""has been <mask> the habit <mask> carrying this stick behind his master. being a","""has been  in the habit  of carrying this stick behind his master. being a",2,2
174,"heavy stick the dog has held it tightly by the middle, and the marks of","heavy stick the dog has held it tightly <mask> the middle, and the marks <mask>","heavy stick the dog has held it tightly  in the middle, and the marks .",0,2
175,"his teeth are very plainly visible. the dog's jaw, as shown in the space","his teeth are very plainly visible. the dog's jaw, as shown <mask> the space","his teeth are very plainly visible. the dog's jaw, as shown  in the space",1,1
176,"between these marks, is too broad in my opinion for a terrier and not","between these marks, is too broad <mask> my opinion <mask> a terrier and not","between these marks, is too broad  in my opinion  for a terrier and not",2,2
177,"broad enough for a mastiff. it may have been--yes, by jove, it is a","broad enough <mask> a mastiff. it may have been--yes, <mask> jove, it is a","broad enough  for a mastiff. it may have been--yes,  a jove, it is a",1,2
178,"curly-haired spaniel.""","curly-haired spaniel.""","curly-haired spaniel.""",0,0
179,,,,0,0
180,he had risen and paced the room as he spoke. now he halted in the recess,he had risen and paced the room as he spoke. now he halted <mask> the recess,he had risen and paced the room as he spoke. now he halted  in the recess,1,1
181,of the window. there was such a ring of conviction in his voice that i, <mask> the window. there was such a ring <mask> conviction <mask> his voice that i, through the window. there was such a ring  of conviction  in his voice that i,2,3
182,glanced up in surprise.,glanced up <mask> surprise.,glanced up  in surprise.,1,1
183,,,,0,0
184,"""my dear fellow, how can you possibly be so sure of that?""","""my dear fellow, how can you possibly be so sure <mask> that?""","""my dear fellow, how can you possibly be so sure  of that?""",1,1
185,,,,0,0
186,"""for the very simple reason that i see the dog himself on our very","""for the very simple reason that i see the dog himself <mask> our very","""for the very simple reason that i see the dog himself  as our very",0,1
187,"door-step, and there is the ring of its owner. don't move, i beg you,","door-step, and there is the ring <mask> its owner. don't move, i beg you,","door-step, and there is the ring  of its owner. don't move, i beg you,",1,1
188,"watson. he is a professional brother of yours, and your presence may be","watson. he is a professional brother <mask> yours, and your presence may be","watson. he is a professional brother  of yours, and your presence may be",1,1
189,"of assistance to me. now is the dramatic moment of fate, watson, when"," <mask> assistance <mask> me. now is the dramatic moment <mask> fate, watson, when"," for assistance  from me. now is the dramatic moment  of fate, watson, when",1,3
190,"you hear a step upon the stair which is walking into your life, and you","you hear a step upon the stair which is walking into your life, and you","you hear a step upon the stair which is walking into your life, and you",0,0
191,"know not whether for good or ill. what does dr. james mortimer, the man","know not whether <mask> good or ill. what does dr. james mortimer, the man","know not whether  for good or ill. what does dr. james mortimer, the man",1,1
192,"of science, ask of sherlock holmes, the specialist in crime? come in!"""," <mask> science, ask <mask> sherlock holmes, the specialist <mask> crime? come in!"""," get science, ask  for sherlock holmes, the specialist  in crime? come in!""",1,3
193,,,,0,0
194,"the appearance of our visitor was a surprise to me, since i had expected","the appearance <mask> our visitor was a surprise <mask> me, since i had expected","the appearance  of our visitor was a surprise  to me, since i had expected",2,2
195,"a typical country practitioner. he was a very tall, thin man, with a","a typical country practitioner. he was a very tall, thin man, <mask> a","a typical country practitioner. he was a very tall, thin man,  with a",1,1
196,"long nose like a beak, which jutted out between two keen, gray eyes,","long nose like a beak, which jutted out between two keen, gray eyes,","long nose like a beak, which jutted out between two keen, gray eyes,",0,0
197,set closely together and sparkling brightly from behind a pair of,set closely together and sparkling brightly <mask> behind a pair <mask>,set closely together and sparkling brightly  from behind a pair  of,2,2
198,gold-rimmed glasses. he was clad in a professional but rather slovenly,gold-rimmed glasses. he was clad <mask> a professional but rather slovenly,gold-rimmed glasses. he was clad  in a professional but rather slovenly,1,1
199,"fashion, for his frock-coat was dingy and his trousers frayed. though","fashion, <mask> his frock-coat was dingy and his trousers frayed. though","fashion,  and his frock-coat was dingy and his trousers frayed. though",0,1
200,"young, his long back was already bowed, and he walked with a forward","young, his long back was already bowed, and he walked <mask> a forward","young, his long back was already bowed, and he walked  with a forward",1,1
201,thrust of his head and a general air of peering benevolence. as he,thrust <mask> his head and a general air <mask> peering benevolence. as he,thrust  of his head and a general air  of peering benevolence. as he,2,2
202,"entered his eyes fell upon the stick in holmes's hand, and he ran","entered his eyes fell upon the stick <mask> holmes's hand, and he ran","entered his eyes fell upon the stick  in holmes's hand, and he ran",1,1
203,"towards it with an exclamation of joy. ""i am so very glad,"" said he.","towards it <mask> an exclamation <mask> joy. ""i am so very glad,"" said he.","towards it  came an exclamation  of joy. ""i am so very glad,"" said he.",1,2
204,"""i was not sure whether i had left it here or in the shipping office. i","""i was not sure whether i had left it here or <mask> the shipping office. i","""i was not sure whether i had left it here or  at the shipping office. i",0,1
205,"would not lose that stick for the world.""","would not lose that stick <mask> the world.""","would not lose that stick  to the world.""",0,1
206,,,,0,0
207,"""a presentation, i see,"" said holmes.","""a presentation, i see,"" said holmes.","""a presentation, i see,"" said holmes.",0,0
208,,,,0,0
209,"""yes, sir.""","""yes, sir.""","""yes, sir.""",0,0
210,,,,0,0
211,"""from charing cross hospital?""","""from charing cross hospital?""","""from charing cross hospital?""",0,0
212,,,,0,0
213,"""from one or two friends there on the occasion of my marriage.""","""from one or two friends there <mask> the occasion <mask> my marriage.""","""from one or two friends there  on the occasion  of my marriage.""",0,2
214,,,,0,0
215,"""dear, dear, that's bad!"" said holmes, shaking his head.","""dear, dear, that's bad!"" said holmes, shaking his head.","""dear, dear, that's bad!"" said holmes, shaking his head.",0,0
216,,,,0,0
217,"dr. mortimer blinked through his glasses in mild astonishment. ""why was","dr. mortimer blinked through his glasses <mask> mild astonishment. ""why was","dr. mortimer blinked through his glasses  in mild astonishment. ""why was",1,1
218,"it bad?""","it bad?""","it bad?""",0,0
219,,,,0,0
220,"""only that you have disarranged our little deductions. your marriage,","""only that you have disarranged our little deductions. your marriage,","""only that you have disarranged our little deductions. your marriage,",0,0
221,"you say?""","you say?""","you say?""",0,0
222,,,,0,0
223,"""yes, sir. i married, and so left the hospital, and with it all hopes of","""yes, sir. i married, and so left the hospital, and <mask> it all hopes <mask>","""yes, sir. i married, and so left the hospital, and  so it all hopes .""",0,2
224,"a consulting practice. it was necessary to make a home of my own.""","a consulting practice. it was necessary <mask> make a home <mask> my own.""","a consulting practice. it was necessary  to make a home  of my own.""",2,2
225,,,,0,0
226,"""come, come, we are not so far wrong, after all,"" said holmes. ""and now,","""come, come, we are not so far wrong, after all,"" said holmes. ""and now,","""come, come, we are not so far wrong, after all,"" said holmes. ""and now,",0,0
227,"dr. james mortimer--""","dr. james mortimer--""","dr. james mortimer--""",0,0
228,,,,0,0
229,"""mister, sir, mister--a humble m.r.c.s.""","""mister, sir, mister--a humble m.r.c.s.""","""mister, sir, mister--a humble m.r.c.s.""",0,0
230,,,,0,0
231,"""and a man of precise mind, evidently.""","""and a man <mask> precise mind, evidently.""","""and a man  of precise mind, evidently.""",1,1
232,,,,0,0
233,"""a dabbler in science, mr. holmes, a picker up of shells on the shores","""a dabbler <mask> science, mr. holmes, a picker up <mask> shells <mask> the shores","""a dabbler  in science, mr. holmes, a picker up  of shells  from the shores",2,3
234,of the great unknown ocean. i presume that it is mr. sherlock holmes, <mask> the great unknown ocean. i presume that it is mr. sherlock holmes, in the great unknown ocean. i presume that it is mr. sherlock holmes,0,1
235,"whom i am addressing and not--""","whom i am addressing and not--""","whom i am addressing and not--""",0,0
236,,,,0,0
237,"""no, this is my friend dr. watson.""","""no, this is my friend dr. watson.""","""no, this is my friend dr. watson.""",0,0
238,,,,0,0
239,"""glad to meet you, sir. i have heard your name mentioned in connection","""glad <mask> meet you, sir. i have heard your name mentioned <mask> connection","""glad  to meet you, sir. i have heard your name mentioned  in connection",2,2
240,"with that of your friend. you interest me very much, mr. holmes. i"," <mask> that <mask> your friend. you interest me very much, mr. holmes. i"," so that 's your friend. you interest me very much, mr. holmes. i",0,2
241,had hardly expected so dolichocephalic a skull or such well-marked,had hardly expected so dolichocephalic a skull or such well-marked,had hardly expected so dolichocephalic a skull or such well-marked,0,0
242,supra-orbital development. would you have any objection to my running my,supra-orbital development. would you have any objection <mask> my running my,supra-orbital development. would you have any objection  to my running my,1,1
243,"finger along your parietal fissure? a cast of your skull, sir, until","finger along your parietal fissure? a cast <mask> your skull, sir, until","finger along your parietal fissure? a cast  on your skull, sir, until",0,1
244,"the original is available, would be an ornament to any anthropological","the original is available, would be an ornament <mask> any anthropological","the original is available, would be an ornament  for any anthropological",0,1
245,"museum. it is not my intention to be fulsome, but i confess that i covet","museum. it is not my intention <mask> be fulsome, but i confess that i covet","museum. it is not my intention  to be fulsome, but i confess that i covet",1,1
246,"your skull.""","your skull.""","your skull.""",0,0
247,,,,0,0
248,"sherlock holmes waved our strange visitor into a chair. ""you are an","sherlock holmes waved our strange visitor into a chair. ""you are an","sherlock holmes waved our strange visitor into a chair. ""you are an",0,0
